ID,Module,Sub Module,Title,Preconditions,Steps,Expected Result,Test Type,Priority,Automate Now,Status,Notes
PO-001,Navigation,Sidebar,Open Purchase Order from merchant sidebar,Logged in as merchant,"1. Open sidebar if collapsed 2. Click Purchase Order","URL is /merchants/purchase-order; PO page heading visible; nav item active",Functional,P0,Yes,Not Started,
PO-002,Navigation,Direct URL,Open PO via direct URL,Logged in,"1. Go to /merchants/purchase-order","PO list page loads without error",Functional,P0,Yes,Not Started,
PO-003,Navigation,Unauthenticated,Access PO URL without login,Logged out,"1. Open /merchants/purchase-order","Redirect to login; after login land on PO or dashboard per app rule",Security,P0,Yes,Not Started,
PO-004,Navigation,Dashboard link,Return to Dashboard from PO,On PO page,"1. Click Dashboard in sidebar","Dashboard loads; Merchant Dashboard heading visible",Functional,P1,Yes,Not Started,
PO-005,Navigation,Browser back,Browser back from Create PO,On Create PO form,"1. Press browser Back","Returns to list or previous safe page; no crash",Functional,P2,Yes,Not Started,
PO-006,Page Load,List API,PO list API fires on page load,On dashboard,"1. Register waitForResponse for PO list API 2. Click Purchase Order","API returns 200; status true; body parseable",API,P0,Yes,Not Started,Capture real endpoint from Network
PO-007,Page Load,UI shell,PO page chrome visible,On PO list,"1. Observe header actions filters table/cards","Create button search filters and list area visible",UI,P0,Yes,Not Started,
PO-008,Page Load,Loading state,Loading indicator while list fetches,Slow network optional,"1. Open PO page","Loader/skeleton shows then list or empty state",UI,P2,Yes,Not Started,
PO-009,Page Load,Empty state,Empty PO list,Merchant with zero POs,"1. Open PO page","Empty illustration/message and Create CTA visible",UI,P1,Yes,Not Started,
PO-010,Page Load,List with data,PO list renders rows,Merchant with existing POs,"1. Open PO page","At least one row; columns readable",UI,P0,Yes,Not Started,
PO-011,List UI,Columns,Verify list column headers,PO list with data,"1. Check table headers","Headers include PO Number Vendor Status Order Date Expected Date Total Amount Outlet/Location Actions (adjust to actual UI)",UI,P1,Yes,Not Started,Update names after UI freeze
PO-012,List UI,Row data,Row shows key fields,Known PO exists,"1. Locate PO row","PO# vendor status dates total match known data",UI,P0,Yes,Not Started,
PO-013,List UI,Status badge,Status badge colors/labels,POs in different statuses,"1. View Draft Ordered Partial Received Cancelled rows","Each status shows correct label/badge",UI,P1,Yes,Not Started,
PO-014,List UI,Pagination,Pagination when many POs,More than page size POs,"1. Go to page 2 2. Change page size if available","Correct page of records; total count consistent",Functional,P1,Yes,Not Started,
PO-015,List UI,Infinite scroll,Scroll load more if used,Many POs,"1. Scroll to bottom","Next page loads; no duplicate rows",Functional,P2,Yes,Not Started,Only if UI uses infinite scroll
PO-016,List vs API,Count parity,List count matches API total,On PO list,"1. Capture list API total 2. Count UI rows or subtitle","UI count equals API total_count/total",API,P0,Yes,Not Started,
PO-017,List vs API,Field parity sample,First N rows match API fields,On PO list,"1. Compare first 5 API records to UI","PO# vendor status total match after normalize",API,P0,Yes,Not Started,
PO-018,Search,By PO number exact,Search exact PO number,Known PO#,"1. Enter exact PO# in search 2. Submit/search","Only that PO row visible",Functional,P0,Yes,Not Started,
PO-019,Search,By PO number partial,Search partial PO number,Known PO#,"1. Enter partial PO#","Matching POs shown",Functional,P1,Yes,Not Started,
PO-020,Search,By vendor name,Search vendor name,Known vendor on PO,"1. Search vendor name","Only POs for that vendor (if search supports vendor)",Functional,P1,Yes,Not Started,
PO-021,Search,No results,Search with no match,On PO list,"1. Search nonsense string","Empty/no results message; no crash",Functional,P1,Yes,Not Started,
PO-022,Search,Clear search,Clear search restores list,After search,"1. Clear search box / Clear button","Full list restored",Functional,P1,Yes,Not Started,
PO-023,Search,Special characters,Search special characters,On PO list,"1. Search !@#$%","Handled safely; no 500/UI break",Negative,P2,Yes,Not Started,
PO-024,Filter,Status Draft,Filter status Draft,Mixed status POs,"1. Filter Draft","Only Draft rows",Functional,P0,Yes,Not Started,
PO-025,Filter,Status Ordered,Filter status Ordered,Mixed status POs,"1. Filter Ordered","Only Ordered rows",Functional,P0,Yes,Not Started,
PO-026,Filter,Status Partial Received,Filter Partial,Mixed status POs,"1. Filter Partial Received","Only Partial rows",Functional,P0,Yes,Not Started,Skip if status not in product
PO-027,Filter,Status Received,Filter Received/Completed,Mixed status POs,"1. Filter Received","Only Received rows",Functional,P0,Yes,Not Started,
PO-028,Filter,Status Cancelled,Filter Cancelled,Mixed status POs,"1. Filter Cancelled","Only Cancelled rows",Functional,P0,Yes,Not Started,
PO-029,Filter,Multi status,Select multiple statuses if allowed,Mixed POs,"1. Select Draft+Ordered","Only those statuses",Functional,P1,Yes,Not Started,
PO-030,Filter,Date range valid,Filter by valid date range,POs across dates,"1. Set From To covering known PO","Known PO visible; outside range hidden",Functional,P1,Yes,Not Started,
PO-031,Filter,Date range invalid,From date after To date,On filters,"1. Set From > To","Validation error or auto-correct",Negative,P1,Yes,Not Started,
PO-032,Filter,Vendor filter,Filter by vendor,Multiple vendors,"1. Select vendor","Only that vendor POs",Functional,P1,Yes,Not Started,
PO-033,Filter,Outlet filter,Filter by location/outlet,Multi-store merchant,"1. Select outlet A","Only outlet A POs",Functional,P0,Yes,Not Started,
PO-034,Filter,Combined filters,Status + vendor + date together,Rich data set,"1. Apply all three","Intersection of filters correct",Functional,P1,Yes,Not Started,
PO-035,Filter,Clear all filters,Reset filters,Filters applied,"1. Click Clear/Reset","All filters cleared; full list",Functional,P1,Yes,Not Started,
PO-036,Filter,API sync,Filter triggers list API with params,On PO list,"1. Register waiter 2. Apply status filter","Request payload/query includes filter; response matches UI",API,P0,Yes,Not Started,
PO-037,Sort,Sort by date desc,Sort order date descending,Multiple POs,"1. Sort by Order Date DESC","Newest first",Functional,P2,Yes,Not Started,
PO-038,Sort,Sort by date asc,Sort order date ascending,Multiple POs,"1. Sort ASC","Oldest first",Functional,P2,Yes,Not Started,
PO-039,Sort,Sort by total,Sort by total amount,Multiple POs,"1. Sort by Total","Numeric order correct",Functional,P2,Yes,Not Started,
PO-040,Sort,Sort by PO number,Sort by PO#,Multiple POs,"1. Sort by PO number","Alpha/numeric order correct",Functional,P2,Yes,Not Started,
PO-041,Create,Open form,Open Create Purchase Order,On PO list,"1. Click Create/Add Purchase Order","Create form opens; title Create/New PO",Functional,P0,Yes,Not Started,
PO-042,Create,Required fields visible,Required field indicators,On create form,"1. Observe vendor products qty date fields","Required fields marked; Save/Submit visible",UI,P0,Yes,Not Started,
PO-043,Create,Cancel form,Cancel without saving,On create form with data,"1. Fill some fields 2. Cancel/Back","No new PO created; return to list",Functional,P1,Yes,Not Started,
